Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
18,001200,16,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
53,000000,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
61,000000,70,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
32,000350,24,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
49,000000,30,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
58,000000,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
18,000000,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
37,000000,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,00
49,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
58,043500,37,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
45,023200,35,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
59,024300,22,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
33,000000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
54,061000,40,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
62,000000,,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
59,000000,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
49,010000,35,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
28,008000,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,00
44,013000,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
43,032500,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
48,030500,45,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
53,000000,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
47,025400,56,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,007500,24,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,00
58,060000,50,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
60,048000,39,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
53,038000,40,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,000000,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
38,021300,32,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
46,051000,40,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
64,000000,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
54,040000,45,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
49,024000,56,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,01
54,019500,40,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
18,000620,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,00
30,000000,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
49,012100,12,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
60,030000,50,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,040000,60,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
20,000300,05,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
55,155000,50,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,01
61,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
64,000000,,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
